,C1_OBJ_NM,DT,C2,C1,TBL_ID,C2_OBJ_NM,TBL_NM
71,특성별,3.8,B03,A0401,DT_109006_J006,이유별,일을 하는 이유
72,특성별,3.5,B04,A0401,DT_109006_J006,이유별,일을 하는 이유
73,특성별,1,B05,A0401,DT_109006_J006,이유별,일을 하는 이유
74,특성별,4.3,B06,A0401,DT_109006_J006,이유별,일을 하는 이유
75,특성별,2,B07,A0401,DT_109006_J006,이유별,일을 하는 이유
76,특성별,1,B08,A0401,DT_109006_J006,이유별,일을 하는 이유
77,특성별,84,B01,A0402,DT_109006_J006,이유별,일을 하는 이유
78,특성별,3.2,B02,A0402,DT_109006_J006,이유별,일을 하는 이유
79,특성별,3.1,B03,A0402,DT_109006_J006,이유별,일을 하는 이유
80,특성별,1,B04,A0402,DT_109006_J006,이유별,일을 하는 이유
81,특성별,1,B05,A0402,DT_109006_J006,이유별,일을 하는 이유
82,특성별,3,B06,A0402,DT_109006_J006,이유별,일을 하는 이유
83,특성별,4.1,B07,A0402,DT_109006_J006,이유별,일을 하는 이유
84,특성별,0.6,B08,A0402,DT_109006_J006,이유별,일을 하는 이유
85,특성별,85.9,B01,A0403,DT_109006_J006,이유별,일을 하는 이유
86,특성별,6.3,B02,A0403,DT_109006_J006,이유별,일을 하는 이유
87,특성별,0.7,B03,A0403,DT_109006_J006,이유별,일을 하는 이유
88,특성별,0.2,B04,A0403,DT_109006_J006,이유별,일을 하는 이유
89,특성별,1.3,B05,A0403,DT_109006_J006,이유별,일을 하는 이유
90,특성별,1.4,B06,A0403,DT_109006_J006,이유별,일을 하는 이유
91,특성별,3.5,B07,A0403,DT_109006_J006,이유별,일을 하는 이유
92,특성별,0.7,B08,A0403,DT_109006_J006,이유별,일을 하는 이유
93,특성별,85.8,B01,A0404,DT_109006_J006,이유별,일을 하는 이유
94,특성별,2.2,B02,A0404,DT_109006_J006,이유별,일을 하는 이유
95,특성별,1.1,B03,A0404,DT_109006_J006,이유별,일을 하는 이유
96,특성별,0.9,B04,A0404,DT_109006_J006,이유별,일을 하는 이유
97,특성별,0.4,B05,A0404,DT_109006_J006,이유별,일을 하는 이유
98,특성별,3.9,B06,A0404,DT_109006_J006,이유별,일을 하는 이유
99,특성별,5.2,B07,A0404,DT_109006_J006,이유별,일을 하는 이유
100,특성별,0.6,B08,A0404,DT_109006_J006,이유별,일을 하는 이유
101,특성별,79.5,B01,A0405,DT_109006_J006,이유별,일을 하는 이유
102,특성별,7.3,B02,A0405,DT_109006_J006,이유별,일을 하는 이유
103,특성별,4,B03,A0405,DT_109006_J006,이유별,일을 하는 이유
104,특성별,1.6,B04,A0405,DT_109006_J006,이유별,일을 하는 이유
105,특성별,4,B05,A0405,DT_109006_J006,이유별,일을 하는 이유
106,특성별,2.6,B06,A0405,DT_109006_J006,이유별,일을 하는 이유
107,특성별,0.8,B07,A0405,DT_109006_J006,이유별,일을 하는 이유
108,특성별,0.4,B08,A0405,DT_109006_J006,이유별,일을 하는 이유
109,특성별,77,B01,A0406,DT_109006_J006,이유별,일을 하는 이유
110,특성별,4.8,B02,A0406,DT_109006_J006,이유별,일을 하는 이유
111,특성별,7.4,B03,A0406,DT_109006_J006,이유별,일을 하는 이유
112,특성별,9.1,B06,A0406,DT_109006_J006,이유별,일을 하는 이유
113,특성별,1.8,B07,A0406,DT_109006_J006,이유별,일을 하는 이유
114,특성별,96.1,B01,A0407,DT_109006_J006,이유별,일을 하는 이유
115,특성별,0.8,B02,A0407,DT_109006_J006,이유별,일을 하는 이유
116,특성별,1.2,B04,A0407,DT_109006_J006,이유별,일을 하는 이유
117,특성별,0.9,B06,A0407,DT_109006_J006,이유별,일을 하는 이유
118,특성별,0.9,B07,A0407,DT_109006_J006,이유별,일을 하는 이유
119,특성별,74.6,B01,A0408,DT_109006_J006,이유별,일을 하는 이유
120,특성별,5.2,B02,A0408,DT_109006_J006,이유별,일을 하는 이유
121,특성별,4.5,B03,A0408,DT_109006_J006,이유별,일을 하는 이유
122,특성별,2.4,B04,A0408,DT_109006_J006,이유별,일을 하는 이유
123,특성별,1.4,B05,A0408,DT_109006_J006,이유별,일을 하는 이유
124,특성별,4,B06,A0408,DT_109006_J006,이유별,일을 하는 이유
125,특성별,7.1,B07,A0408,DT_109006_J006,이유별,일을 하는 이유
126,특성별,0.8,B08,A0408,DT_109006_J006,이유별,일을 하는 이유
127,특성별,90.5,B01,A0409,DT_109006_J006,이유별,일을 하는 이유
128,특성별,3.6,B02,A0409,DT_109006_J006,이유별,일을 하는 이유
129,특성별,0.4,B03,A0409,DT_109006_J006,이유별,일을 하는 이유
130,특성별,0.3,B05,A0409,DT_109006_J006,이유별,일을 하는 이유
131,특성별,2,B06,A0409,DT_109006_J006,이유별,일을 하는 이유
132,특성별,2.7,B07,A0409,DT_109006_J006,이유별,일을 하는 이유
133,특성별,0.5,B08,A0409,DT_109006_J006,이유별,일을 하는 이유
